Gene	Control	Grave_I	Grave_II	SIZE	Group
gene_id_96115	11.91793871	9.734690625	2.638675	1	#B0E0E6
gene_id_137527	5.08048871	6.878417188	10.09435278	1	#B0E0E6
gene_id_96568	9.148943548	7.417720313	2.020111111	1	#B0E0E6
gene_id_96565	9.347343548	9.987464063	2.152772222	1	#B0E0E6
gene_id_33449	0.955158065	11.99019844	7.719713889	1	#B0E0E6
gene_id_33448	0.885558065	11.4303125	7.440080556	1	#B0E0E6
gene_id_128489	13.73066129	12.69305625	7.562041667	1	#B0E0E6
gene_id_82483	18.03893548	16.363	3.056305556	1	#B0E0E6
gene_id_132004	6.321996774	7.007445313	5.66815	1	#B0E0E6
gene_id_132005	19.26899516	21.10963906	17.25489167	1	#B0E0E6
gene_id_132006	25.47180806	28.06048281	23.53855556	1	#B0E0E6
gene_id_132000	49.7823871	52.429375	21.28649722	1	#B0E0E6
gene_id_132002	25.91932903	27.5472	22.18461944	1	#B0E0E6
gene_id_132003	26.04009677	28.23402344	24.21758056	1	#B0E0E6
gene_id_35261	12.67222581	6.352189063	9.338480556	1	#B0E0E6
gene_id_35260	20.10977419	11.28059375	13.85177778	1	#B0E0E6
gene_id_41569	9.352658065	10.96276563	0.957911111	1	#B0E0E6
gene_id_98472	9.056704839	7.648875	2.902566667	1	#B0E0E6
gene_id_117482	41.41653387	31.05280313	37.591925	1	#B0E0E6
gene_id_117488	66.31266129	63.12092188	79.4785	1	#B0E0E6
gene_id_128674	6.951446774	6.998146875	4.266308333	1	#B0E0E6
gene_id_128671	9.037887097	8.65571875	5.485791667	1	#B0E0E6
gene_id_118899	12.85374194	13.18007813	13.18722222	1	#B0E0E6
gene_id_129102	9.772758065	9.699796875	6.180086111	1	#B0E0E6
gene_id_97148	23.63330645	19.20912969	5.374569444	1	#B0E0E6
gene_id_97149	12.02365806	9.45465625	2.406544444	1	#B0E0E6
gene_id_79844	12.13966129	15.7548125	8.365072222	1	#B0E0E6
gene_id_60043	8.713708065	4.25826875	8.027552778	1	#B0E0E6
gene_id_97588	16.00723226	13.273	3.681344444	1	#B0E0E6
gene_id_97589	28.07012419	23.51598594	6.667008333	1	#B0E0E6
gene_id_102342	3.279898387	5.53875625	13.5079	1	#B0E0E6
gene_id_70942	5.816551613	7.53125	4.894333333	1	#B0E0E6
gene_id_89475	4.585924194	5.628964063	14.11558333	1	#B0E0E6
gene_id_128328	8.368770968	8.265515625	5.332461111	1	#B0E0E6
gene_id_77446	7.71943871	8.188553125	6.862716667	1	#B0E0E6
gene_id_77444	7.213329032	8.1260875	3.783333333	1	#B0E0E6
gene_id_77443	5.589029032	6.907751563	6.081719444	1	#B0E0E6
gene_id_77441	11.77346935	8.976828125	6.671305556	1	#B0E0E6
gene_id_77440	10.66052903	8.260721875	8.0367	1	#B0E0E6
gene_id_96483	36.18039355	29.8012625	8.538147222	1	#B0E0E6
gene_id_96480	13.44252742	10.96449688	3.139280556	1	#B0E0E6
gene_id_96481	16.20663226	13.48025469	3.703902778	1	#B0E0E6
gene_id_96486	10.48244839	8.713309375	2.288819444	1	#B0E0E6
gene_id_96487	22.15277419	17.61618281	4.915619444	1	#B0E0E6
gene_id_67904	10.65615323	15.42260938	12.59806667	1	#B0E0E6
gene_id_103430	4.892122581	7.671678125	14.83166667	1	#B0E0E6
gene_id_137481	6.386766129	8.316335938	12.33508333	1	#B0E0E6
gene_id_137480	7.392658065	9.028385938	14.33396111	1	#B0E0E6
gene_id_117076	5.658659677	7.52371875	22.95197222	1	#B0E0E6
gene_id_58150	9.642919355	9.1255	4.627361111	1	#B0E0E6
gene_id_116755	4.023774194	5.2125	15.55277778	1	#B0E0E6
gene_id_25555	10.9478871	10.74007813	12.63668333	1	#B0E0E6
gene_id_23281	12.95342903	9.635234375	12.83465833	1	#B0E0E6
gene_id_57678	12.3321129	12.51470313	7.583758333	1	#B0E0E6
gene_id_57679	7.228016129	7.085975	3.801472222	1	#B0E0E6
